,from,to,weight
25222,Bedoya C.F.,Sirunyan A.M.,160
84970,Lange T.,Sirunyan A.M.,160
57305,Fröhlich A.,Sirunyan A.M.,160
48785,Darwish M.R.,Sirunyan A.M.,160
95601,Mocellin G.,Sirunyan A.M.,160
69959,Jeon S.,Sirunyan A.M.,160
29977,Brito L.,Sirunyan A.M.,161
29600,Bozzo M.,Sirunyan A.M.,161
29324,Bossini E.,Sirunyan A.M.,161
115840,Sirunyan A.M.,Snoeys W.,161
113713,Sawant S.,Sirunyan A.M.,161
59063,Giani S.,Sirunyan A.M.,161
58127,Garcia F.,Sirunyan A.M.,161
50002,Deile M.,Sirunyan A.M.,161
92347,Malara A.,Sirunyan A.M.,161
58105,Garbers C.,Sirunyan A.M.,161
26408,Bhal E.,Sirunyan A.M.,161
116768,Sirunyan A.M.,Wiedenbeck S.,161
48010,Cummings G.,Sirunyan A.M.,161
68190,Ivanchenko V.,Sirunyan A.M.,161
22847,Baechler J.,Sirunyan A.M.,161
113846,Scheurer V.,Sirunyan A.M.,162
98408,Nemes F.,Sirunyan A.M.,162
77247,Kim M.,Sirunyan A.M.,162
67803,Isidori T.,Sirunyan A.M.,162
35951,Chang Y.H.,Sirunyan A.M.,162
51321,Dini P.,Sirunyan A.M.,162
21451,Avati V.,Sirunyan A.M.,162
74314,Kasem A.,Sirunyan A.M.,162
115980,Sirunyan A.M.,Stojanovic M.,162
60585,Grzanka L.,Sirunyan A.M.,162
93281,Marsh B.,Sirunyan A.M.,162
24802,Bastos D.,Sirunyan A.M.,162
116784,Sirunyan A.M.,Williams J.,162
80913,Konstantinou S.,Sirunyan A.M.,162
54414,Erodotou E.,Sirunyan A.M.,162
103589,Pauls A.,Sirunyan A.M.,162
92361,Malawski M.,Sirunyan A.M.,162
95075,Meuser D.,Sirunyan A.M.,162
17873,Antchev G.,Sirunyan A.M.,162
109721,Rath Y.,Sirunyan A.M.,162
95329,Minafra N.,Sirunyan A.M.,162
106490,Polatoz A.,Sirunyan A.M.,163
54503,Eskut E.,Sirunyan A.M.,163
86510,Lee Y.,Sirunyan A.M.,163
57164,Frankenthal A.,Sirunyan A.M.,163
115006,Shtol D.,Sirunyan A.M.,163
116163,Sirunyan A.M.,Tcherniaev E.,163
117037,Sirunyan A.M.,Zhukov V.,164
20693,Atay S.,Sirunyan A.M.,164
117011,Sirunyan A.M.,Zhang Y.,164
