,from,to,weight
441,Brazil,Netherlands,9
1771,Japan,Saudi Arabia,9
736,China,Saudi Arabia,9
695,China,Egypt,9
1786,Japan,Turkey,9
684,Chile,United Kingdom,9
669,Chile,Pakistan,9
1801,Jordan,United States,9
2217,Peru,United Kingdom,9
1546,Iran,Sri Lanka,9
2099,Nigeria,Poland,9
417,Brazil,Denmark,9
352,Bhutan,Bhutan,9
851,Croatia,Singapore,9
1501,Indonesia,Singapore,9
1967,Mexico,South Africa,9
933,Denmark,Germany,9
1713,Italy,Slovenia,9
112,Australia,Georgia,9
1911,Malaysia,Saudi Arabia,9
2130,Norway,Poland,9
837,Croatia,Iran,9
1317,Ghana,United States,9
1225,Georgia,South Korea,9
335,Belgium,Spain,9
1341,Greece,United Kingdom,9
1632,Israel,Poland,9
2029,Mozambique,United States,9
173,Austria,Brazil,9
1080,Finland,Iran,9
207,Austria,Malaysia,9
158,Australia,Sweden,9
108,Australia,Denmark,9
39,Argentina,France,9
1643,Israel,South Africa,9
791,Colombia,Poland,10
787,Colombia,Pakistan,10
459,Brazil,Spain,10
1164,France,Slovakia,10
2248,Poland,Singapore,10
132,Australia,Mexico,10
421,Brazil,Georgia,10
585,Canada,India,10
1446,India,Netherlands,10
2513,Turkey,Turkey,10
1437,India,Lebanon,10
2150,Pakistan,Portugal,10
1448,India,Nigeria,10
1197,Georgia,Iran,10
1704,Italy,Qatar,10
2160,Pakistan,Slovakia,10
931,Denmark,France,10
916,Czech Republic,United Kingdom,10
2147,Pakistan,Peru,10
287,Bangladesh,United States,10
2247,Poland,Serbia,10
124,Australia,Israel,10
527,Cambodia,Malaysia,10
2209,Peru,South Africa,10
1008,Egypt,Malaysia,10
1623,Israel,Nigeria,10
1101,Finland,Sweden,10
1084,Finland,Japan,10
1974,Mexico,Turkey,10
2054,Netherlands,Portugal,10
2055,Netherlands,Romania,10
2363,Serbia,United Kingdom,10
1630,Israel,Peru,10
671,Chile,Poland,11
582,Canada,Hong Kong,11
2115,None,Singapore,11
746,China,Sweden,11
169,Austria,Austria,11
698,China,Georgia,11
812,Colombia,United Kingdom,11
1226,Georgia,Spain,11
121,Australia,Iran,11
110,Australia,Finland,11
2137,Norway,United Kingdom,11
313,Belgium,India,11
1331,Greece,Poland,11
2495,Taiwan,Viet Nam,11
2361,Serbia,Thailand,11
1766,Japan,Poland,11
2466,Sweden,Switzerland,11
1776,Japan,Slovenia,11
1459,India,Russian Federation,11
2063,Netherlands,Spain,11
1378,Hong Kong,Philippines,11
1445,India,Nepal,11
1686,Italy,Morocco,11
1020,Egypt,Saudi Arabia,11
1626,Israel,Pakistan,11
196,Austria,India,11
1151,France,Pakistan,11
2411,South Africa,Spain,11
79,Armenia,Italy,11
22,Algeria,Malaysia,11
1145,France,New Zealand,11
188,Austria,France,11
2522,Ukraine,United States,11
162,Australia,Turkey,12
294,Belarus,Italy,12
1046,Estonia,Italy,12
1340,Greece,Turkey,12
2127,Norway,Norway,12
1545,Iran,Spain,12
2214,Peru,Thailand,12
631,Canada,Switzerland,12
2167,Pakistan,Sweden,12
658,Chile,India,12
1825,Kenya,Thailand,12
1418,Iceland,Iceland,12
579,Canada,Georgia,12
2441,South Korea,Viet Nam,12
1321,Greece,Iran,12
153,Australia,Slovakia,12
765,Colombia,France,12
1196,Georgia,India,12
1861,Lebanon,Thailand,12
714,China,Latvia,12
708,China,Israel,12
2417,South Africa,Uganda,12
2404,Slovenia,Thailand,12
1014,Egypt,Pakistan,12
266,Bangladesh,China,12
1675,Italy,Latvia,12
213,Austria,Netherlands,13
1069,Ethiopia,United States,13
65,Argentina,United Kingdom,13
489,Bulgaria,France,13
140,Australia,Pakistan,13
1506,Indonesia,Taiwan,13
2469,Sweden,Turkey,13
876,Cyprus,Italy,13
2451,Spain,Turkey,13
336,Belgium,Sweden,13
2525,United Arab Emirates,United States,13
147,Australia,Russian Federation,13
2339,Saudi Arabia,United Kingdom,13
666,Chile,Mexico,13
601,Canada,Malaysia,13
632,Canada,Taiwan,13
62,Argentina,Thailand,13
2060,Netherlands,Slovakia,13
1408,Hungary,Poland,13
2245,Poland,Russian Federation,13
433,Brazil,Japan,13
1705,Italy,Romania,13
1219,Georgia,Russian Federation,13
1511,Indonesia,Viet Nam,14
1828,Kenya,United States,14
692,China,Czech Republic,14
1906,Malaysia,Poland,14
948,Denmark,Poland,14
1591,Ireland,Thailand,14
2392,Slovakia,Turkey,14
2305,Russian Federation,Slovakia,14
807,Colombia,Thailand,14
1762,Japan,Pakistan,14
2175,Pakistan,Turkey,14
2254,Poland,Sweden,14
2164,Pakistan,South Korea,14
1371,Hong Kong,Malaysia,14
2438,South Korea,United Kingdom,15
243,Austria,United Kingdom,15
2073,New Zealand,New Zealand,15
156,Australia,South Korea,15
315,Belgium,Iran,15
426,Brazil,India,15
626,Canada,South Korea,15
623,Canada,Singapore,15
2500,Thailand,Uganda,15
1660,Israel,United Kingdom,15
994,Egypt,France,15
957,Denmark,Sweden,15
2318,Russian Federation,United Kingdom,15
2249,Poland,Slovakia,15
1114,France,Hungary,15
1112,France,Greece,15
1399,Hungary,Iran,15
2228,Philippines,South Korea,15
1524,Iran,Mexico,15
1280,Germany,Slovakia,15
1163,France,Singapore,15
2447,Spain,Sweden,16
603,Canada,Mexico,16
693,China,Denmark,16
1712,Italy,Slovakia,16
740,China,Slovakia,16
137,Australia,New Zealand,16
2017,Montenegro,Switzerland,16
1742,Jamaica,United States,16
503,Bulgaria,Poland,16
198,Austria,Iran,16
306,Belgium,Denmark,16
1395,Hong Kong,United States,16
1471,India,Sweden,16
2529,United Kingdom,Viet Nam,16
2237,Philippines,United Kingdom,16
2050,Netherlands,Pakistan,16
2059,Netherlands,Singapore,16
1363,Hong Kong,Hong Kong,16
120,Australia,Indonesia,16
1342,Greece,United States,16
1166,France,South Africa,16
1109,France,Georgia,16
168,Australia,Viet Nam,17
2409,South Africa,South Africa,17
271,Bangladesh,India,17
1903,Malaysia,Pakistan,17
2383,Singapore,Viet Nam,17
1717,Italy,Sri Lanka,17
1779,Japan,Spain,17
2065,Netherlands,Switzerland,17
1171,France,Sweden,17
1339,Greece,Thailand,17
1263,Germany,None,17
1201,Georgia,Japan,17
1414,Hungary,Thailand,17
1850,Latvia,Switzerland,18
1834,Kuwait,Switzerland,18
1874,Lithuania,Switzerland,18
159,Australia,Switzerland,18
155,Australia,South Africa,18
1695,Italy,Pakistan,18
221,Austria,Poland,18
2391,Slovakia,Thailand,18
2165,Pakistan,Spain,18
625,Canada,South Africa,18
696,China,Finland,18
1441,India,Mexico,18
1590,Ireland,Switzerland,18
1576,Ireland,Italy,18
2242,Poland,Portugal,18
751,China,Turkey,18
2282,Puerto Rico,Switzerland,18
977,Ecuador,Italy,18
928,Denmark,Denmark,18
1099,Finland,Spain,18
2275,Portugal,Switzerland,18
2319,Russian Federation,United States,18
1052,Estonia,Switzerland,18
2519,Uganda,United States,18
457,Brazil,South Africa,19
444,Brazil,Pakistan,19
1711,Italy,Singapore,19
577,Canada,Finland,19
664,Chile,Japan,19
630,Canada,Sweden,19
300,Belgium,Brazil,19
70,Armenia,China,19
2280,Portugal,United Kingdom,19
1274,Germany,Romania,19
1947,Mexico,Netherlands,19
1133,France,Malaysia,19
775,Colombia,Italy,19
2149,Pakistan,Poland,20
1454,India,Poland,20
1468,India,Spain,20
328,Belgium,Poland,20
1690,Italy,New Zealand,20
343,Belgium,United Kingdom,20
262,Bangladesh,Bangladesh,20
1744,Japan,Kazakhstan,20
2244,Poland,Romania,20
912,Czech Republic,Switzerland,20
2502,Thailand,United Arab Emirates,20
1173,France,Taiwan,20
1503,Indonesia,South Korea,20
2044,Nepal,Thailand,20
1783,Japan,Switzerland,20
304,Belgium,China,20
66,Argentina,United States,21
1509,Indonesia,United Kingdom,21
1900,Malaysia,Nigeria,21
2457,Sri Lanka,Thailand,21
1431,India,Israel,21
2354,Senegal,United States,21
2068,Netherlands,Turkey,21
721,China,Netherlands,21
1710,Italy,Serbia,21
157,Australia,Spain,21
143,Australia,Philippines,21
730,China,Poland,21
88,Armenia,Switzerland,21
1811,Kazakhstan,Thailand,22
2252,Poland,South Korea,22
883,Cyprus,Switzerland,22
917,Czech Republic,United States,22
1074,Finland,France,22
2493,Taiwan,United Kingdom,22
1234,Georgia,United Kingdom,22
2515,Turkey,United Kingdom,22
999,Egypt,India,22
372,Bhutan,Thailand,22
447,Brazil,Poland,22
139,Australia,Norway,22
511,Bulgaria,United Kingdom,22
2360,Serbia,Switzerland,22
813,Colombia,United States,23
1185,France,Viet Nam,23
2471,Sweden,United Kingdom,23
1364,Hong Kong,India,23
1727,Italy,Ukraine,23
662,Chile,Italy,23
2233,Philippines,Taiwan,23
1367,Hong Kong,Italy,24
299,Belgium,Belgium,24
2138,Norway,United States,24
1756,Japan,Netherlands,24
46,Argentina,Italy,24
483,Bulgaria,Canada,24
1922,Malaysia,Switzerland,24
1232,Georgia,Turkey,24
496,Bulgaria,Italy,24
2087,New Zealand,Switzerland,24
2340,Saudi Arabia,United States,25
428,Brazil,Iran,25
2092,New Zealand,United States,25
2499,Thailand,Turkey,25
1510,Indonesia,United States,25
2413,South Africa,Switzerland,25
1978,Mexico,United Kingdom,25
1279,Germany,Singapore,25
2238,Philippines,United States,25
2260,Poland,Turkey,26
913,Czech Republic,Thailand,26
1453,India,Philippines,26
1694,Italy,Norway,26
613,Canada,Pakistan,26
1466,India,South Africa,27
1714,Italy,South Africa,27
993,Egypt,Egypt,27
899,Czech Republic,Italy,27
1286,Germany,Sweden,27
1117,France,Iran,27
2256,Poland,Taiwan,27
1035,Egypt,United States,27
117,Australia,Hong Kong,27
1593,Ireland,United Kingdom,27
568,Canada,China,27
1751,Japan,Mexico,27
1167,France,South Korea,28
2168,Pakistan,Switzerland,28
236,Austria,Switzerland,28
420,Brazil,France,28
1386,Hong Kong,South Korea,28
2219,Philippines,Philippines,28
2312,Russian Federation,Switzerland,28
2253,Poland,Spain,29
615,Canada,Poland,29
592,Canada,Japan,29
1553,Iran,United Kingdom,29
1383,Hong Kong,Singapore,29
2218,Peru,United States,30
839,Croatia,Italy,30
938,Denmark,Italy,30
685,Chile,United States,30
1596,Israel,Italy,30
1229,Georgia,Switzerland,30
939,Denmark,Japan,30
729,China,Philippines,31
1653,Israel,Thailand,31
1845,Laos,Thailand,32
2394,Slovakia,United Kingdom,32
1533,Iran,Poland,32
607,Canada,Netherlands,32
244,Austria,United States,32
1544,Iran,South Korea,32
412,Brazil,China,33
2419,South Africa,United Kingdom,33
627,Canada,Spain,33
961,Denmark,United Kingdom,33
1103,Finland,Thailand,33
1496,Indonesia,Philippines,33
408,Brazil,Bulgaria,34
1681,Italy,Malaysia,34
1477,India,Turkey,34
1159,France,Russian Federation,34
1154,France,Poland,34
1463,India,Singapore,35
578,Canada,France,35
1390,Hong Kong,Taiwan,35
1451,India,Pakistan,35
1106,Finland,United Kingdom,35
2225,Philippines,Singapore,35
437,Brazil,Mexico,35
1260,Germany,Netherlands,35
2277,Portugal,Thailand,36
410,Brazil,Canada,36
989,Ecuador,Switzerland,36
2155,Pakistan,Saudi Arabia,36
508,Bulgaria,Switzerland,36
1917,Malaysia,South Korea,37
119,Australia,India,37
1765,Japan,Philippines,37
2109,Nigeria,Thailand,37
2532,United States,Viet Nam,37
580,Canada,Germany,37
2479,Switzerland,Ukraine,37
1144,France,Netherlands,38
1928,Malaysia,United Kingdom,38
2455,Sri Lanka,Switzerland,38
651,Chile,China,38
1512,Iran,Iran,39
136,Australia,Netherlands,39
805,Colombia,Switzerland,39
2117,None,Thailand,40
309,Belgium,France,40
2053,Netherlands,Poland,40
152,Australia,Singapore,40
2241,Poland,Poland,40
2239,Philippines,Viet Nam,40
1923,Malaysia,Taiwan,40
2465,Sweden,Sweden,40
1489,Indonesia,Malaysia,40
682,Chile,Thailand,41
1661,Israel,United States,41
2452,Spain,United Kingdom,42
704,China,Indonesia,42
144,Australia,Poland,42
285,Bangladesh,Thailand,42
757,China,Viet Nam,42
2516,Turkey,United States,43
2475,Switzerland,Taiwan,43
1538,Iran,Russian Federation,43
160,Australia,Taiwan,43
131,Australia,Malaysia,43
1423,Iceland,Thailand,44
1427,India,Indonesia,44
1913,Malaysia,Singapore,44
2380,Singapore,United Kingdom,44
2376,Singapore,Taiwan,44
1168,France,Spain,45
1083,Finland,Italy,45
1401,Hungary,Italy,46
2046,Netherlands,Netherlands,46
2371,Singapore,South Korea,47
1368,Hong Kong,Japan,47
1247,Germany,Japan,47
1001,Egypt,Iran,47
1122,France,Japan,47
1483,India,Viet Nam,47
111,Australia,France,47
734,China,Russian Federation,48
2494,Taiwan,United States,48
122,Australia,Iraq,48
1689,Italy,Netherlands,48
1750,Japan,Malaysia,48
1774,Japan,Singapore,48
1480,India,United Kingdom,48
1702,Italy,Portugal,49
962,Denmark,United States,49
1115,France,India,50
1487,Indonesia,Japan,50
2179,Pakistan,United Kingdom,52
726,China,Pakistan,52
755,China,United Kingdom,52
467,Brazil,United Kingdom,52
1930,Malaysia,Viet Nam,53
1719,Italy,Sweden,53
344,Belgium,United States,53
2416,South Africa,Thailand,54
2430,South Korea,Taiwan,54
104,Australia,China,54
855,Croatia,Switzerland,54
201,Austria,Italy,55
1428,India,Iran,55
739,China,Singapore,56
2472,Sweden,United States,56
1027,Egypt,Switzerland,56
1461,India,Saudi Arabia,56
1721,Italy,Taiwan,56
2395,Slovakia,United States,56
1929,Malaysia,United States,56
2136,Norway,Thailand,57
97,Australia,Brazil,57
126,Australia,Japan,58
2258,Poland,Thailand,59
1548,Iran,Switzerland,59
2036,Myanmar,Thailand,59
1102,Finland,Switzerland,60
705,China,Iran,60
1004,Egypt,Italy,60
1557,Iraq,Iraq,61
318,Belgium,Italy,61
1968,Mexico,South Korea,62
2089,New Zealand,Thailand,62
1791,Japan,Viet Nam,62
1176,France,Turkey,62
717,China,Mexico,63
1200,Georgia,Italy,65
1473,India,Taiwan,65
494,Bulgaria,Iraq,66
1434,India,Japan,66
125,Australia,Italy,66
959,Denmark,Thailand,66
1030,Egypt,Thailand,67
407,Brazil,Brazil,69
2445,Spain,Spain,69
99,Australia,Bulgaria,69
1551,Iran,Turkey,70
1136,France,Mexico,70
1107,Finland,United States,70
1338,Greece,Switzerland,72
1323,Greece,Italy,72
2314,Russian Federation,Thailand,72
1956,Mexico,Poland,74
1905,Malaysia,Philippines,75
2368,Singapore,Singapore,75
1969,Mexico,Spain,75
535,Cambodia,Thailand,76
1484,Indonesia,Indonesia,76
2420,South Africa,United States,77
716,China,Malaysia,77
2264,Poland,United Kingdom,77
461,Brazil,Switzerland,77
2180,Pakistan,United States,78
701,China,Hong Kong,78
1569,Iraq,Thailand,79
2448,Spain,Switzerland,80
2474,Switzerland,Switzerland,80
743,China,South Korea,80
1789,Japan,United Kingdom,82
1440,India,Malaysia,83
1778,Japan,South Korea,86
1467,India,South Korea,88
2337,Saudi Arabia,Thailand,89
2255,Poland,Switzerland,91
1971,Mexico,Switzerland,91
1413,Hungary,Switzerland,91
2070,Netherlands,United Kingdom,92
2146,Pakistan,Pakistan,94
1235,Georgia,United States,94
337,Belgium,Switzerland,95
1784,Japan,Taiwan,100
2381,Singapore,United States,101
1180,France,United Kingdom,102
2439,South Korea,United States,103
2481,Switzerland,United Kingdom,105
1701,Italy,Poland,106
339,Belgium,Thailand,108
1294,Germany,Uzbekistan,108
432,Brazil,Italy,111
697,China,France,112
238,Austria,Thailand,112
638,Canada,United Kingdom,113
591,Canada,Italy,113
2265,Poland,United States,113
1276,Germany,Saudi Arabia,114
1108,France,France,116
1250,Germany,Kuwait,116
2450,Spain,Thailand,119
1172,France,Switzerland,120
468,Brazil,United States,123
509,Bulgaria,Thailand,124
1893,Malaysia,Malaysia,126
1550,Iran,Thailand,127
2424,South Korea,South Korea,131
1715,Italy,South Korea,133
566,Canada,Canada,135
2477,Switzerland,Thailand,136
1706,Italy,Russian Federation,136
2071,Netherlands,United States,137
102,Australia,Canada,137
710,China,Japan,147
1391,Hong Kong,Thailand,149
2235,Philippines,Thailand,149
747,China,Switzerland,150
1683,Italy,Mexico,152
748,China,Taiwan,153
2453,Spain,United States,153
1973,Mexico,Thailand,154
464,Brazil,Thailand,155
1671,Italy,Japan,159
1516,Iran,Italy,159
1481,India,United States,164
2478,Switzerland,Turkey,170
703,China,India,173
165,Australia,United Kingdom,176
166,Australia,United States,184
2535,Viet Nam,Viet Nam,187
1554,Iran,United States,189
2429,South Korea,Switzerland,193
2468,Sweden,Thailand,193
1722,Italy,Thailand,194
1472,India,Switzerland,199
1716,Italy,Spain,202
1432,India,Italy,213
2067,Netherlands,Thailand,226
756,China,United States,231
1725,Italy,Turkey,231
639,Canada,United States,238
2488,Taiwan,Taiwan,239
1257,Germany,Montenegro,244
1120,France,Italy,247
2172,Pakistan,Thailand,250
1729,Italy,United Kingdom,257
1790,Japan,United States,268
2377,Singapore,Thailand,283
92,Australia,Australia,284
1181,France,United States,294
633,Canada,Thailand,294
113,Australia,Germany,315
2527,United Kingdom,United Kingdom,337
1273,Germany,Qatar,342
1174,France,Thailand,344
2431,South Korea,Thailand,361
1507,Indonesia,Thailand,363
2489,Taiwan,Thailand,399
1426,India,India,425
709,China,Italy,437
1251,Germany,Latvia,440
290,Belarus,Germany,483
1272,Germany,Puerto Rico,485
1042,Estonia,Germany,486
1253,Germany,Lithuania,487
1244,Germany,Ireland,489
74,Armenia,Germany,491
1271,Germany,Portugal,494
2507,Thailand,Viet Nam,494
892,Czech Republic,Germany,494
1266,Germany,Pakistan,501
2528,United Kingdom,United States,501
1924,Malaysia,Thailand,523
1743,Japan,Japan,566
1943,Mexico,Mexico,579
1669,Italy,Italy,588
1720,Italy,Switzerland,593
872,Cyprus,Germany,625
161,Australia,Thailand,684
1474,India,Thailand,699
767,Colombia,Germany,735
687,China,China,761
1285,Germany,Sri Lanka,776
1278,Germany,Serbia,823
1979,Mexico,United States,830
1289,Germany,Thailand,838
973,Ecuador,Germany,854
1254,Germany,Malaysia,884
1192,Georgia,Germany,936
1261,Germany,New Zealand,964
491,Bulgaria,Germany,969
1291,Germany,Ukraine,972
749,China,Thailand,972
2482,Switzerland,United States,973
1288,Germany,Taiwan,981
2503,Thailand,United Kingdom,1056
1730,Italy,United States,1090
190,Austria,Germany,1171
1243,Germany,Iran,1330
835,Croatia,Germany,1456
1076,Finland,Germany,1473
1270,Germany,Poland,1514
2530,United States,United States,1716
1236,Germany,Germany,1906
1238,Germany,Greece,1923
996,Egypt,Germany,1991
1785,Japan,Thailand,1994
1284,Germany,Spain,2064
1287,Germany,Switzerland,2132
1240,Germany,Hungary,2192
311,Belgium,Germany,2479
1110,France,Germany,2536
1292,Germany,United Kingdom,2545
1255,Germany,Mexico,2696
699,China,Germany,2862
422,Brazil,Germany,2863
2504,Thailand,United States,3023
1283,Germany,South Korea,4281
1275,Germany,Russian Federation,6040
1241,Germany,India,6162
1290,Germany,Turkey,8198
2497,Thailand,Thailand,15746
1246,Germany,Italy,16403
1293,Germany,United States,23928
